title,Number_of_comments,Number_of_likes
Bezduché mesto,1,1
Biela levica (Severský triler),1,1
Danka a Janka,1,1
Diabol v zrkadle,1,1
Dievča vo vlaku,1,1
Divá Bára / Dobrý člověk,1,1
Ekonómia,1,1
Geniálna priateľka,1,1
Harry Potter 1 - 7 (box),1,1
Harry Potter a Tajomná komnata (kniha 2) (Ilustrovaná edícia),1,1
Hra s ohňom,1,1
Knižnica duší,1,1
Královna ohně,1,1
Montessori - Aktivity pre deti,1,1
Myslivecké příběhy z hor,1,1
Najkrajšie slovenské rozprávky,1,1
Nežná fatamorgána,1,1
Nie som žiadna bábovka,1,1
Peklo je otvorené,1,1
Prezident,1,1
Príbeh nového priezviska,1,1
Sex s ex (alebo milujte ma ešte raz),1,1
Smrť na druhom brehu,1,1
Sova,1,1
V ľudskej koži,1,1
Ztraceno ve vlnách,1,1
Získaj si jej priazeň,1,1
Šarha,1,1
Špiónka,1,1
